"ADSL","HGNC:291","chr22:40742504-40783531","chr22:40346500-40387527","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:291","2015-11-06T04:36:44+00:00"
"AFF2","HGNC:3776","chrX:147582137-148082193","chrX:148500617-149000663","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3776","2020-12-08T17:30:05+00:00"
"AGA","HGNC:318","chr4:178351928-178363591","chr4:177430774-177442437","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:318","2026-02-05T20:48:09+00:00"
"AGAP2","HGNC:16921","chr12:58117544-58135944","chr12:57723761-57742161","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:16921","2025-02-26T17:31:24+00:00"
"AGK","HGNC:21869","chr7:141251210-141355044","chr7:141551410-141655244","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21869","2025-09-26T15:14:44+00:00"
"AGO4","HGNC:18424","chr1:36273237-36323491","chr1:35807636-35857890","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18424","2024-10-08T16:59:32+00:00"
"AGPAT2","HGNC:325","chr9:139567595-139581909","chr9:136673143-136687457","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:325","2016-08-22T17:45:46+00:00"
"AGRN","HGNC:329","chr1:955500-991496","chr1:1020120-1056116","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:329","2016-08-22T17:45:47+00:00"
"AGT","HGNC:333","chr1:230838269-230881329","chr1:230702523-230745583","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:333","2014-11-13T15:04:16+00:00"
"AGTR2","HGNC:338","chrX:115301997-115306227","chrX:116170744-116174974","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:338","2012-05-10T13:30:11+00:00"
"AGXT","HGNC:341","chr2:241808241-241819917","chr2:240868824-240880500","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:341","2016-08-22T17:45:48+00:00"
"AHCY","HGNC:343","chr20:32868074-32899608","chr20:34231981-34311836","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:343","2016-06-08T14:14:30+00:00"
"AHDC1","HGNC:25230","chr1:27860756-27930655","chr1:27534245-27604227","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25230","2018-02-28T17:31:33+00:00"
"AHI1","HGNC:21575","chr6:135604670-135818878","chr6:135283532-135497740","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21575","2025-09-26T15:29:08+00:00"
"AICDA","HGNC:13203","chr12:8754766-8765455","chr12:8602170-8612859","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13203","2016-08-22T17:45:48+00:00"
"AIFM1","HGNC:8768","chrX:129263337-129299815","chrX:130129362-130165841","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:8768","2025-04-23T16:53:19+00:00"
"AIMP1","HGNC:10648","chr4:107236701-107270613","chr4:106315544-106349456","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:10648","2016-08-22T17:45:49+00:00"
"AKT1","HGNC:391","chr14:105235686-105262085","chr14:104769349-104795748","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:391","2022-01-25T18:10:51+00:00"
"AKT2","HGNC:392","chr19:40736224-40791252","chr19:40230317-40285345","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:392","2015-05-07T13:10:30+00:00"
"AKT3","HGNC:393","chr1:243651535-244014381","chr1:243488233-243851079","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:393","2023-05-09T16:50:48+00:00"
"ALAD","HGNC:395","chr9:116148592-116163564","chr9:113386312-113401284","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:395","2016-08-22T17:45:50+00:00"
"ALDH1A3","HGNC:409","chr15:101420036-101456831","chr15:100879831-100916626","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:409","2016-08-22T17:45:51+00:00"
"ALDH3A2","HGNC:403","chr17:19551449-19580909","chr17:19648136-19677596","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:403","2016-08-22T17:45:52+00:00"
"ALDH4A1","HGNC:406","chr1:19197924-19229049","chr1:18871430-18902555","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:406","2025-11-21T16:23:07+00:00"
"ALDH5A1","HGNC:408","chr6:24495197-24537435","chr6:24494969-24537207","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:408","2016-08-22T17:45:53+00:00"
"ALDOA","HGNC:414","chr16:30075600-30081741","chr16:30064279-30070420","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:414","2016-08-22T17:45:54+00:00"
"ALG1","HGNC:18294","chr16:5121844-5137380","chr16:5071843-5087379","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18294","2016-08-22T17:45:54+00:00"
"ALG12","HGNC:19358","chr22:50293877-50312086","chr22:49859311-49918438","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19358","2016-08-22T17:45:55+00:00"
"ALG13","HGNC:30881","chrX:110924398-111003877","chrX:111681170-111760649","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:30881","2025-04-23T16:39:23+00:00"
"ALG2","HGNC:23159","chr9:101978707-101984224","chr9:99216425-99221942","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23159","2016-08-22T17:45:56+00:00"
"ALG6","HGNC:23157","chr1:63833298-63904224","chr1:63367627-63438553","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23157","2016-08-22T17:45:57+00:00"
"ALK","HGNC:427","chr2:29415640-30144452","chr2:29192774-29921586","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:427","2025-06-23T20:06:55+00:00"
"ALMS1","HGNC:428","chr2:73612886-73837046","chr2:73385758-73609919","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:428","2016-08-22T17:45:58+00:00"
"ALS2","HGNC:443","chr2:202564990-202645656","chr2:201700267-201780933","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:443","2026-02-05T20:15:17+00:00"
"ALX4","HGNC:450","chr11:44281990-44331689","chr11:44260440-44310139","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:450","2020-07-22T17:39:04+00:00"
"AMH","HGNC:464","chr19:2249322-2252072","chr19:2249323-2252073","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:464","2016-08-22T17:45:59+00:00"
"AMN","HGNC:14604","chr14:103389000-103397179","chr14:102922663-102930842","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14604","2016-08-22T17:46:00+00:00"
"ANGPTL3","HGNC:491","chr1:63063191-63071984","chr1:62597520-62606313","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:491","2026-06-30T20:27:48+00:00"
"ANK2","HGNC:493","chr4:113626778-114304892","chr4:112705622-113383736","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:493","2025-01-14T17:11:45+00:00"
"ANKH","HGNC:15492","chr5:14704909-14871887","chr5:14704800-14871778","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15492","2022-02-23T18:51:21+00:00"
"ANKRD11","HGNC:21316","chr16:89334038-89556969","chr16:89267630-89490561","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21316","2022-06-14T16:16:46+00:00"
"ANKRD17","HGNC:23575","chr4:73939093-74124515","chr4:73073376-73258798","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23575","2023-04-11T16:22:41+00:00"
"ANKRD26","HGNC:29186","chr10:27293045-27389423","chr10:26947582-27100494","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29186","2023-10-10T16:23:50+00:00"
"ANKS1B","HGNC:24600","chr12:99128564-100378714","chr12:98734786-99984936","Little Evidence for Haploinsufficiency","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:24600","2026-06-09T16:58:55+00:00"
"ANKS6","HGNC:26724","chr9:101494291-101558837","chr9:98732009-98796555","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:26724","2016-08-22T17:46:02+00:00"
"ANOS1","HGNC:6211","chrX:8496915-8700178","chrX:8528874-8732137","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:6211","2021-05-26T17:04:49+00:00"
"ANTXR2","HGNC:21732","chr4:80822300-80994626","chr4:79901146-80073472","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21732","2025-11-21T16:36:41+00:00"
"AP1S2","HGNC:560","chrX:15843929-15872936","chrX:15825806-15854813","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:560","2021-04-28T16:13:16+00:00"
"AP4B1","HGNC:572","chr1:114436816-114447650","chr1:113894194-113905028","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:572","2025-11-21T16:57:07+00:00"
"AP4S1","HGNC:575","chr14:31494312-31565656","chr14:31025106-31096450","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:575","2026-02-27T16:38:46+00:00"
"APC","HGNC:583","chr5:112043195-112181936","chr5:112707498-112846239","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:583","2021-07-19T02:10:32+00:00"
"APOB","HGNC:603","chr2:21224301-21266945","chr2:21001429-21044073","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:603","2020-04-09T20:59:06+00:00"
"APOC2","HGNC:609","chr19:45449308-45452822","chr19:44946051-44949565","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:609","2016-08-22T17:46:06+00:00"
"APP","HGNC:620","chr21:27252861-27543446","chr21:25880550-26171128","No Evidence for Haploinsufficiency","Little Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:620","2025-10-27T14:38:26+00:00"
"AR","HGNC:644","chrX:66763863-66950461","chrX:67544021-67730619","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:644","2020-12-08T17:09:48+00:00"
"ARCN1","HGNC:649","chr11:118443124-118473748","chr11:118572409-118603033","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:649","2022-05-10T16:22:31+00:00"
"ARFGEF2","HGNC:15853","chr20:47538248-47653230","chr20:48921711-49036693","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15853","2026-01-23T16:53:34+00:00"
"ARG1","HGNC:663","chr6:131894366-131905469","chr6:131573226-131584329","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:663","2016-08-22T17:46:07+00:00"
"ARHGAP11B","HGNC:15782","chr15:30918331-30941432","chr15:30626128-30649229","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15782","2023-03-28T17:48:23+00:00"
"ARHGAP31","HGNC:29216","chr3:119013230-119139561","chr3:119294383-119420714","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29216","2023-06-13T16:29:25+00:00"
"ARHGEF4","HGNC:684","chr2:131594487-131804826","chr2:130836914-131047253","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:684","2018-04-05T18:17:22+00:00"
"ARHGEF6","HGNC:685","chrX:135747709-135863091","chrX:136665550-136780932","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:685","2012-04-25T19:40:11+00:00"
"ARHGEF9","HGNC:14561","chrX:62854847-63005094","chrX:63634967-63785214","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14561","2021-11-25T02:41:01+00:00"
"ARID1A","HGNC:11110","chr1:27022506-27108595","chr1:26696015-26782104","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11110","2020-05-27T16:53:48+00:00"
"ARID1B","HGNC:18040","chr6:157097160-157531913","chr6:156776026-157210779","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18040","2021-05-26T16:28:52+00:00"
"ARID2","HGNC:18037","chr12:46123489-46301820","chr12:45729706-45908037","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18037","2019-06-26T16:51:18+00:00"
"ARL6","HGNC:13210","chr3:97483365-97520086","chr3:97764521-97801242","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13210","2016-08-22T17:46:08+00:00"
"ARL6IP1","HGNC:697","chr16:18802989-18812871","chr16:18791667-18801549","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:697","2016-08-22T17:46:09+00:00"
"ARSA","HGNC:713","chr22:51061182-51066580","chr22:50622754-50628152","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:713","2012-09-05T14:38:59+00:00"
"ARSD","HGNC:717","chrX:2822013-2847380","chrX:2903972-2929339","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:717","2016-07-21T21:14:39+00:00"
"ARSL","HGNC:719","chrX:2852562-2886286","chrX:2934521-2968245","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:719","2012-07-12T19:08:24+00:00"
"ARX","HGNC:18060","chrX:25021811-25034082","chrX:25003694-25015965","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18060","2019-12-05T15:51:07+00:00"
"ASAH1","HGNC:735","chr8:17913501-17942470","chr8:18055992-18084961","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:735","2017-09-12T01:02:04+00:00"
